model,.metric,mean,std_err,n
Logistic regression,accuracy,0.8590172933096855,3.0789581214163418e-6,5
Random forest,accuracy,0.8590172933096855,3.0789581214163418e-6,5
Random forest,roc_auc,0.6561728698764387,9.465758724122563e-4,5
Logistic regression,roc_auc,0.6560403539626086,8.357160728343504e-4,5
